iter	Passed	Remaining
0	141	141562
1	142	71095
2	143	47594
3	143	35839
4	144	28787
5	145	24081
6	146	20720
7	146	18200
8	147	16239
9	148	14670
10	148	13390
11	149	12322
12	150	11418
13	151	10642
14	151	9969
15	152	9377
16	153	8852
17	153	8384
18	154	7962
19	154	7582
20	155	7238
21	155	6925
22	156	6639
23	156	6376
24	157	6135
25	157	5912
26	158	5705
27	158	5513
28	159	5335
29	159	5168
30	160	5012
31	160	4865
32	161	4728
33	161	4599
34	162	4477
35	162	4362
36	163	4253
37	163	4150
38	164	4051
39	164	3958
40	165	3869
41	166	3800
42	167	3721
43	167	3643
44	168	3570
45	168	3499
46	169	3431
47	169	3366
48	170	3304
49	170	3244
50	171	3187
51	171	3132
52	172	3079
53	172	3027
54	173	2978
55	173	2931
56	174	2885
57	174	2840
58	175	2797
59	175	2756
60	176	2715
61	176	2676
62	177	2639
63	177	2602
64	178	2567
65	178	2532
66	179	2499
67	179	2463
68	180	2432
69	180	2402
70	181	2372
71	181	2343
72	182	2315
73	182	2287
74	183	2261
75	183	2235
76	184	2209
77	184	2184
78	185	2160
79	185	2137
80	186	2114
81	186	2092
82	187	2070
83	187	2048
84	188	2026
85	188	2006
86	189	1984
87	189	1965
88	190	1946
89	190	1927
90	191	1909
91	191	1891
92	192	1874
93	192	1857
94	193	1840
95	193	1823
96	194	1807
97	194	1792
98	195	1777
99	195	1762
100	196	1748
101	196	1731
102	197	1717
103	197	1703
104	198	1689
105	198	1675
106	199	1662
107	199	1649
108	200	1636
109	200	1624
110	201	1611
111	201	1599
112	202	1587
113	202	1575
114	203	1564
115	203	1552
116	204	1541
117	204	1530
118	205	1518
119	205	1507
120	206	1497
121	206	1487
122	206	1475
123	207	1465
124	207	1455
125	208	1445
126	208	1436
127	209	1426
128	209	1416
129	210	1407
130	210	1398
131	211	1390
132	211	1381
133	212	1372
134	212	1364
135	213	1355
136	213	1347
137	214	1338
138	214	1330
139	215	1323
140	215	1315
141	216	1307
142	216	1299
143	217	1292
144	217	1284
145	218	1277
146	218	1270
147	219	1263
148	219	1256
149	220	1249
150	220	1242
151	221	1235
152	221	1228
153	222	1222
154	223	1215
155	223	1209
156	224	1203
157	224	1196
158	225	1190
159	225	1184
160	226	1178
161	226	1172
162	227	1166
163	227	1160
164	228	1154
165	228	1148
166	229	1143
167	229	1137
168	230	1131
169	230	1126
170	231	1120
171	231	1115
172	232	1110
173	232	1104
174	233	1099
175	233	1094
176	234	1089
177	234	1084
178	235	1079
179	235	1074
180	236	1068
181	236	1063
182	237	1058
183	237	1053
184	238	1049
185	238	1044
186	239	1040
187	239	1035
188	240	1030
189	240	1026
190	241	1021
191	241	1017
192	242	1013
193	242	1008
194	243	1004
195	243	1000
196	244	995
197	244	991
198	245	987
199	245	983
200	246	979
201	246	975
202	247	971
203	247	967
204	248	963
205	248	959
206	249	955
207	249	951
208	250	947
209	250	944
210	251	940
211	252	936
212	252	932
213	253	929
214	253	925
215	254	922
