iter	Passed	Remaining
0	152	152041
1	153	76475
2	153	51147
3	154	38482
4	155	30877
5	155	25805
6	156	22180
7	157	19480
8	157	17377
9	158	15695
10	159	14311
11	159	13157
12	160	12207
13	161	11369
14	162	10640
15	162	10001
16	163	9440
17	163	8944
18	164	8501
19	165	8100
20	166	7742
21	166	7410
22	167	7106
23	167	6828
24	168	6572
25	169	6335
26	169	6114
27	170	5913
28	171	5728
29	171	5559
30	172	5394
31	173	5240
32	173	5094
33	174	4958
34	175	4829
35	175	4706
36	176	4589
37	176	4478
38	177	4372
39	177	4271
40	178	4178
41	179	4089
42	179	4004
43	180	3922
44	181	3844
45	181	3769
46	182	3696
47	182	3627
48	183	3560
49	184	3496
50	184	3435
51	185	3378
52	186	3324
53	186	3269
54	187	3217
55	187	3166
56	188	3117
57	189	3070
58	189	3027
59	190	2982
60	190	2939
61	191	2897
62	192	2857
63	192	2819
64	193	2783
65	194	2747
66	194	2711
67	195	2676
68	195	2642
69	196	2610
70	197	2578
71	197	2547
72	198	2516
73	198	2487
74	199	2458
75	200	2431
76	200	2405
77	201	2379
78	201	2353
79	202	2327
80	202	2302
81	203	2278
82	203	2252
83	204	2229
84	205	2206
85	205	2184
86	206	2163
87	206	2142
88	207	2123
89	208	2103
90	208	2085
91	209	2066
92	209	2047
93	210	2029
94	211	2011
95	211	1993
96	212	1976
97	212	1959
98	213	1942
99	214	1926
100	214	1910
101	215	1895
102	215	1880
103	216	1865
104	217	1850
105	217	1836
106	218	1822
107	218	1808
108	219	1794
109	220	1780
110	220	1766
111	221	1753
112	221	1740
113	222	1727
114	222	1715
115	223	1703
116	223	1690
117	224	1678
118	225	1666
119	225	1655
120	226	1644
121	226	1632
122	227	1622
123	228	1611
124	228	1601
125	229	1590
126	229	1579
127	230	1570
128	231	1560
129	231	1551
130	232	1542
131	233	1533
132	233	1524
133	234	1514
134	234	1505
135	235	1495
136	236	1486
137	236	1477
138	237	1469
139	237	1460
140	238	1452
141	238	1442
142	239	1434
143	239	1426
144	240	1417
145	241	1410
146	241	1402
147	242	1394
148	242	1386
149	243	1379
150	243	1371
151	244	1364
152	245	1356
153	245	1349
154	246	1342
155	247	1336
156	247	1330
157	248	1323
158	248	1316
159	249	1309
160	249	1301
161	250	1295
162	250	1288
163	251	1281
164	252	1275
165	252	1269
166	253	1263
167	253	1257
168	254	1250
169	254	1244
170	255	1239
171	256	1233
172	256	1227
173	257	1221
174	257	1215
175	258	1209
176	258	1203
177	259	1198
178	260	1193
179	260	1188
180	261	1182
181	261	1177
182	262	1172
183	263	1167
184	263	1161
185	264	1156
186	264	1151
187	265	1146
188	265	1141
189	266	1136
190	267	1131
191	267	1126
192	268	1122
193	268	1117
194	269	1112
195	270	1107
196	270	1103
197	271	1098
